			Light1	 Light2	 Average		D_L1	D_L2
Light1	 Light2	 Average	2	0	1		2	0
Light1	 Light2	 Average	2	0	1		0	0
Light1	 Light2	 Average	2	0	1		0	0
Light1	 Light2	 Average	2	0	1		0	0
Light1	 Light2	 Average	2	0	1		0	0
Light1	 Light2	 Average	2	0	1		0	0
Light1	 Light2	 Average	2	0	1		0	0
Light1	 Light2	 Average	2	0	1		0	0
Light1	 Light2	 Average	2	0	1		0	0
Light1	 Light2	 Average	2	0	1		0	0
Light1	 Light2	 Average	2	0	1		0	0
Light1	 Light2	 Average	2	0	1		0	0
Light1	 Light2	 Average	2	0	1		0	0
Light1	 Light2	 Average	2	0	1		0	0
Light1	 Light2	 Average	2	0	1		0	0
Light1	 Light2	 Average	2	0	1		0	0
Light1	 Light2	 Average	2	0	1		0	0
Light1	 Light2	 Average	2	0	1		0	0
Light1	 Light2	 Average	2	0	1		0	0
Light1	 Light2	 Average	2	0	1		0	0
Light1	 Light2	 Average	2	0	1		0	0
Light1	 Light2	 Average	2	0	1		0	0
Light1	 Light2	 Average	2	0	1		0	0
Light1	 Light2	 Average	2	0	1		0	0
Light1	 Light2	 Average	2	0	1		0	0
Light1	 Light2	 Average	2	0	1		0	0
Light1	 Light2	 Average	2	0	1		0	0
Light1	 Light2	 Average	2	0	1		0	0
Light1	 Light2	 Average	2	0	1		0	0
Light1	 Light2	 Average	2	0	1		0	0
Light1	 Light2	 Average	2	0	1		0	0
Light1	 Light2	 Average	2	0	1		0	0
Light1	 Light2	 Average	2	0	1		0	0
Light1	 Light2	 Average	2	0	1		0	0
Light1	 Light2	 Average	2	0	1		0	0
Light1	 Light2	 Average	2	0	1		0	0
Light1	 Light2	 Average	2	0	1		0	0
Light1	 Light2	 Average	2	0	1		0	0
Light1	 Light2	 Average	2	0	1		0	0
Light1	 Light2	 Average	2	0	1		0	0
Light1	 Light2	 Average	2	0	1		0	0
Light1	 Light2	 Average	2	0	1		0	0
Light1	 Light2	 Average	2	0	1		0	0
Light1	 Light2	 Average	2	0	1		0	0
Light1	 Light2	 Average	2	0	1		0	0
Light1	 Light2	 Average	2	0	1		0	0
Light1	 Light2	 Average	2	0	1		0	0
Light1	 Light2	 Average	2	0	1		0	0
Light1	 Light2	 Average	2	0	1		0	0
Light1	 Light2	 Average	2	0	1		0	0
Light1	 Light2	 Average	2	0	1		0	0
Light1	 Light2	 Average	2	0	1		0	0
Light1	 Light2	 Average	2	0	1		0	0
Light1	 Light2	 Average	2	0	1		0	0
Light1	 Light2	 Average	2	0	1		0	0
Light1	 Light2	 Average	2	0	1		0	0
Light1	 Light2	 Average	2	0	1		0	0
Light1	 Light2	 Average	2	0	1		0	0
Light1	 Light2	 Average	2	0	1		0	0
Light1	 Light2	 Average	2	0	1		0	0
Light1	 Light2	 Average	2	0	1		0	0
Light1	 Light2	 Average	2	0	1		0	0
Light1	 Light2	 Average	2	0	1		0	0
Light1	 Light2	 Average	2	0	1		0	0
Light1	 Light2	 Average	2	0	1		0	0
Light1	 Light2	 Average	2	0	1		0	0
Light1	 Light2	 Average	2	0	1		0	0
Light1	 Light2	 Average	2	0	1		0	0
Light1	 Light2	 Average	2	0	1		0	0
Light1	 Light2	 Average	2	0	1		0	0
Light1	 Light2	 Average	2	0	1		0	0
Light1	 Light2	 Average	2	0	1		0	0
Light1	 Light2	 Average	2	0	1		0	0
Light1	 Light2	 Average	2	0	1		0	0
Light1	 Light2	 Average	2	0	1		0	0
Light1	 Light2	 Average	2	0	1		0	0
Light1	 Light2	 Average	2	0	1		0	0
Light1	 Light2	 Average	2	0	1		0	0
Light1	 Light2	 Average	2	0	1		0	0
Light1	 Light2	 Average	2	0	1		0	0
Light1	 Light2	 Average	2	0	1		0	0
Light1	 Light2	 Average	2	0	1		0	0
Light1	 Light2	 Average	2	0	1		0	0
Light1	 Light2	 Average	2	0	1		0	0
Light1	 Light2	 Average	2	0	1		0	0
Light1	 Light2	 Average	2	0	1		0	0
Light1	 Light2	 Average	2	0	1		0	0
Light1	 Light2	 Average	2	0	1		0	0
Light1	 Light2	 Average	2	0	1		0	0
Light1	 Light2	 Average	2	0	1		0	0
Light1	 Light2	 Average	2	0	1		0	0
Light1	 Light2	 Average	2	0	1		0	0
Light1	 Light2	 Average	2	0	1		0	0
Light1	 Light2	 Average	2	0	1		0	0
Light1	 Light2	 Average	2	0	1		0	0
Light1	 Light2	 Average	2	0	1		0	0
Light1	 Light2	 Average	2	0	1		0	0
Light1	 Light2	 Average	2	0	1		0	0
Light1	 Light2	 Average	2	0	1		0	0
Light1	 Light2	 Average	2	0	1		0	0
Light1	 Light2	 Average	2	0	1		0	0
Light1	 Light2	 Average	2	0	1		0	0
Light1	 Light2	 Average	2	0	1		0	0
Light1	 Light2	 Average	2	0	1		0	0
Light1	 Light2	 Average	2	0	1		0	0
Light1	 Light2	 Average	2	0	1		0	0
Light1	 Light2	 Average	2	0	1		0	0
Light1	 Light2	 Average	2	0	1		0	0
Light1	 Light2	 Average	2	0	1		0	0
Light1	 Light2	 Average	2	0	1		0	0
Light1	 Light2	 Average	2	0	1		0	0
Light1	 Light2	 Average	2	0	1		0	0
Light1	 Light2	 Average	2	0	1		0	0
Light1	 Light2	 Average	2	0	1		0	0
Light1	 Light2	 Average	2	0	1		0	0
Light1	 Light2	 Average	2	0	1		0	0
Light1	 Light2	 Average	2	0	1		0	0
Light1	 Light2	 Average	2	0	1		0	0
Light1	 Light2	 Average	2	0	1		0	0
Light1	 Light2	 Average	2	0	1		0	0
Light1	 Light2	 Average	2	0	1		0	0
Light1	 Light2	 Average	2	0	1		0	0
Light1	 Light2	 Average	2	0	1		0	0
Light1	 Light2	 Average	2	0	1		0	0
Light1	 Light2	 Average	2	0	1		0	0
Light1	 Light2	 Average	2	0	1		0	0
Light1	 Light2	 Average	2	0	1		0	0
Light1	 Light2	 Average	2	0	1		0	0
Light1	 Light2	 Average	2	0	1		0	0
Light1	 Light2	 Average	2	0	1		0	0
Light1	 Light2	 Average	2	0	1		0	0
Light1	 Light2	 Average	2	0	1		0	0
Light1	 Light2	 Average	2	0	1		0	0
Light1	 Light2	 Average	2	0	1		0	0
Light1	 Light2	 Average	2	0	1		0	0
Light1	 Light2	 Average	2	0	1		0	0
Light1	 Light2	 Average	2	0	1		0	0
Light1	 Light2	 Average	2	0	1		0	0
Light1	 Light2	 Average	2	0	1		0	0
Light1	 Light2	 Average	2	0	1		0	0
Light1	 Light2	 Average	2	0	1		0	0
Light1	 Light2	 Average	2	0	1		0	0
Light1	 Light2	 Average	2	0	1		0	0
Light1	 Light2	 Average	2	0	1		0	0
Light1	 Light2	 Average	2	0	1		0	0
Light1	 Light2	 Average	2	0	1		0	0
Light1	 Light2	 Average	2	0	1		0	0
Light1	 Light2	 Average	2	0	1		0	0
Light1	 Light2	 Average	2	0	1		0	0
Light1	 Light2	 Average	2	0	1		0	0
Light1	 Light2	 Average	2	0	1		0	0
Light1	 Light2	 Average	2	0	1		0	0
Light1	 Light2	 Average	2	0	1		0	0
Light1	 Light2	 Average	2	0	1		0	0
